TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200900A,234120,Bridge and Tunnel Construction (1997 NAICS),82,$38437311.00
201700A,811420,Reupholstery & furniture repair,3,$0.00
200900A,443112,"Radio, television, & other electronics stores",690,$312922550.00
201300A,441221,Motorcycle dealers,48,$30766123.00
201600A,335000,"Electrical equipment, appliance, & component mfg.",652,$226046463.13
200700A,812112,Beauty salons,109,$10228506.00
200900A,311600,Animal Slaughtering and Processing,13,$39809670.00
201500A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1810,$489373929.35
201400A,235910,Structural Steel Erection Contractors (1997 NAICS),138,$146440661.00
201200A,518210,"Data processing, hosting, & related services",660,$588335941.00
200700A,812990,All other personal services,5144,$147215775.02
200900A,235910,Structural Steel Erection Contractors (1997 NAICS),95,$226458464.00
201700A,445210,Meat markets,5,$794400.00
201400A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),1015,$99694039.00
201100A,512200,Sound recording industries,1050,$443555504.90
200600A,621111,Offices of physicians (except mental health specialists),3929,$2289767331.97
200500A,519100,Other information services (including news syndicates and libraries),97,$108744242.00
200800A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,187,$75284169.00
200800A,541930,Translation & interpretation services,132,$11938226.00
200700A,424910,Farm supplies,15,$12777288.00
200900A,235310,Electrical Contractors (1997 NAICS),1780,$507321869.95
201000A,235920,Glass and Glazing Contractors (1997 NAICS),160,$34334600.94
200600A,454113,Mail-order houses,18,$19377623.00
200500A,812220,Cemeteries & crematories,12,$14636959.00
200500A,624200,"Community food & housing, & emergency & other relief services",13,$789178.00
200500A,523140,Commodity contracts brokers,18,$19827884.00
200800A,336000,Transportation equipment mfg.,56,$80346189.00
200500A,445210,Meat markets,25,$7711614.00
200800A,324100,Petroleum & coal products mfg.,10,$14256557.00
200800A,441221,Motorcycle dealers,27,$31266004.00
200800A,541800,Advertising & related services,1245,$1050852984.40
201300A,448310,Jewelry stores,1237,$286446108.42
201300A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1512,$403388537.40
200900A,423930,Recyclable materials,193,$275502222.00
201100A,442110,Furniture stores,1006,$430493192.82
200800A,488000,Support activities for transportation (including motor vehicle towing),789,$814756028.00
201500A,561600,Investigation & security services,1099,$497923622.67
201000A,442110,Furniture stores,1019,$431187708.64
201500A,424800,"Beer, wine, & distilled alcoholic beverage",137,$114259128.00
200700A,423990,Other miscellaneous durable goods,1212,$572877924.00
201700A,312000,Beverage & tobacco product mfg.,1,$0.00
201700A,812990,All other personal services,838,$32354610.00
200800A,522300,Activities related to credit intermediation (including loan brokers),528,$156036746.51
200500A,561500,Travel arrangement & reservation services,6289,$458328356.20
201000A,425120,Wholesale trade agents & brokers,1218,$587047037.09
200800A,445290,Home furnishings stores,669,$386062123.00
201300A,443120,Computer & software stores,983,$1071649044.98
201400A,711510,"Independent artists, writers, & performers",17151,$1751101132.07
201600A,238340,Tile & terrazzo contractors,228,$88954518.00
200500A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",244,$96444011.00
200600A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",100,$76018697.24
201600A,448130,Children's & infants' clothing stores,297,$97556139.00
201200A,621399,Offices of all other miscellaneous health practitioners,2469,$856183799.02
200600A,453210,Office supplies & stationery stores,209,$344344480.80
201500A,541360,Geophysical surveying & mapping services,56,$10355733.00
200500A,621320,Offices of optometrists,100,$32091900.51
200800A,812220,Cemeteries & crematories,11,$17293870.00
201200A,711100,Performing arts companies,535,$311862630.28
201600A,115310,Support activities for forestry,750,$111057092.00
201700A,441229,All other motor vehicle dealers,12,$53062.00
201500A,423940,"Jewelry, watch, precious stone, & precious metals",2727,$1142575439.66
201700A,237210,Land subdivision,7,$67598777.00
201600A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),129,$141170336.00
201100A,811420,Reupholstery & furniture repair,203,$15481791.00
200600A,541100,Legal services,4335,$5662000049.28
200800A,235810,Water Well Drilling Contractors (1997 NAICS),10,$3880596.00
200500A,541380,Testing laboratories,17,$22645280.00
200700A,313000,Textile mills,39,$9480164.00
200700A,484200,Specialized freight trucking (including household moving vans),50,$2400548.00
201100A,513330,Telecommunications Resellers,6,$5153831.00
200800A,313000,Textile mills,55,$8916873.00
201200A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),8,$1680517.00
